status,name,category,area,address,menu_name,lat,lng,lowest_price_gbp,submissions,registered_at,upvotes,comments,description,google_place_id,downvotes
approved,Pizza Pilgrims Shoreditch,restaurant,Shoreditch,"136 Shoreditch High St, London E1 6JE, United Kingdom",Marinara Extra,51.5263821,-0.0782195,10,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch cheap eat pick: marinara extra for £10.,ChIJsVLbbrocdkgRWktTPrnlaW4,0
approved,Beigel Bake,restaurant,Shoreditch,"159 Brick Ln, London E1 6SB, United Kingdom",salt beef sandwich,51.5244985,-0.0717608,8.2,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch cheap eat pick: salt beef sandwich for £8.2.,ChIJjUgahq0ddkgRDLV2zZrg4ck,0
approved,kokodoo,restaurant,Shoreditch,"54 Paul St, London EC2A 4LN, United Kingdom",chicken meal,51.5240789,-0.08408639999999999,10.5,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch cheap eat pick: chicken meal for £10.5.,ChIJ6-q_25kddkgRLex7YpGnX4Y,0
approved,Mo's Shack,restaurant,Shoreditch,"130 Bethnal Grn Rd, London E2 6DG, United Kingdom",smash burger,51.5249748,-0.07120359999999999,6.49,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch cheap eat pick: smash burger for £6.49.,ChIJ5Z1Kfk0ddkgRn3atcYjaoKU,0
approved,Shoreditch Fish and Chips,restaurant,Shoreditch,"117 Redchurch St, London E2 7DL, United Kingdom",cod fish and chips,51.5248657,-0.0719914,9.65,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch cheap eat pick: cod fish and chips for £9.65.,ChIJAcmfkrccdkgRU3PXPq7Nqaw,0
approved,kiss the hippo,cafe,Shoreditch,"12 Brushfield St, London E1 6AN, United Kingdom",americano,51.5189156,-0.0784503,4,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch budget coffee pick: americano for £4.,ChIJ-xHiSTsddkgRJBuHOreKEe8,0
approved,Momlette,cafe,Shoreditch,"8 Cheshire St, London E2 6EH, United Kingdom",americano,51.5234545,-0.0710266,2.6,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch budget coffee pick: americano for £2.6.,ChIJvTVPjvMddkgRQyqmcWh99nQ,0
approved,Vintage Café Shoreditch,cafe,Shoreditch,"17 Cheshire St, London E2 6EH, United Kingdom",americano,51.5236455,-0.0703317,3.2,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch budget coffee pick: americano for £3.2.,ChIJndjMy18ddkgRHrxhQX0DJ2o,0
approved,gecko,cafe,Shoreditch,"49 Bethnal Grn Rd, London E1 6LA, United Kingdom",flat white,51.524615,-0.0728368,3.9,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch budget coffee pick: flat white for £3.9.,ChIJ5TF2-xQddkgRsPDhxt3FM2s,0
approved,Flying Horse Coffee,cafe,Shoreditch,"4b Holywell Ln, London EC2A 3ET, United Kingdom",americano,51.5238495,-0.07785829999999999,3.4,[],2026-04-26T03:10:02.375Z,0,[],Shoreditch budget coffee pick: americano for £3.4.,ChIJzV9rK60ddkgRdL8ZLoeZFHo,0
approved,Paddy Wok,restaurant,Borough,"3 Creekside, London SE8 4SA, United Kingdom",Stir Fry,51.4766007,-0.021853,9.5,[],2026-04-26T03:10:02.375Z,0,[],Borough cheap eat pick: stir fry for £9.5.,ChIJ0USF7uEDdkgRQIK1XY8GDY4,0
approved,Dabangg Kitchen,restaurant,Borough,"14 West Ln, London SE16 4NY, United Kingdom",Chicken biriyani,51.4991454,-0.0602733,12,[],2026-04-26T03:10:02.375Z,0,[],Borough cheap eat pick: chicken biriyani for £12.,ChIJYUf0tHEDdkgRMnfyr_89mBs,0
approved,Taste of Nepal- Blackfriars Rd,restaurant,Borough,"200 Blackfriars Rd, London SE1 8NN, United Kingdom",Chicken Momo,51.5041649,-0.1045928,7,[],2026-04-26T03:10:02.375Z,0,[],Borough cheap eat pick: chicken momo for £7.,ChIJI1ccWDEFdkgRZFjl8x8N2mY,0
approved,Shawarma Hut - Restaurant Elephant and Castle,restaurant,Borough,"292b Walworth Rd, London SE17 2TE, United Kingdom",Shawarma meal deal,51.4869919,-0.0953252,4.99,[],2026-04-26T03:10:02.375Z,0,[],Borough cheap eat pick: shawarma meal deal for £4.99.,ChIJtWPrUsYFdkgRU-ePiXBGV2Y,0
approved,Go Habibi,restaurant,Borough,"73 Waterloo Rd, London SE1 8TY, United Kingdom",Burger meal,51.50439069999999,-0.1122002,9.5,[],2026-04-26T03:10:02.375Z,0,[],Borough cheap eat pick: burger meal for £9.5.,ChIJkyv3cdAFdkgRDgUhoDpQ8ug,0
approved,Malt,pub,Borough,"Arch 46, Ropewalk, Maltby St, London SE1 3PA, United Kingdom",beer,51.4993898,-0.0757432,5.2,[],2026-04-26T03:10:02.375Z,0,[],Borough budget pint pick: beer for £5.2.,ChIJL_JYwNUDdkgRg47t8p5LgUM,0
approved,Fabal Beerhall - Bermondsey Beer Mile,pub,Borough,"88 Druid St, London SE1 2AN, United Kingdom",beer,51.49954349999999,-0.0750203,6.8,[],2026-04-26T03:10:02.375Z,0,[],Borough budget pint pick: beer for £6.8.,ChIJDcCcYAADdkgRje9mBCEnIvY,0
approved,Lord Nelson,pub,Borough,"243 Union St, London SE1 0LR, United Kingdom","beer, nelson export",51.5034012,-0.1026467,5.6,[],2026-04-26T03:10:02.375Z,0,[],"Borough budget pint pick: beer, nelson export for £5.6.",ChIJ-f0CnqUEdkgRbL6ay_3zhtY,0
